SEQNUM,BIN_ACCOUNT_MIN_LENGTH,BIN_ACCOUNT_MAX_LENGTH,BIN_ACCOUNT_RANGE_LOW,BIN_ACCOUNT_RANGE_HIGH,BIN_CARD_TYPE,BIN_MOD10_CHECK,BIN_EXPIRY_DATE_CHECK,BIN_PROMPT_CVV,BIN_PROMPT_AVS,BIN_CARD_NAME,BIN_CARD_MNEMONICS,BIN_OFFLINE_FLOOR_LIMIT,BIN_QPS_FLOOR_LIMIT,BIN_DURBIN_BIN_REG_INDICATOR,BIN_IS_WHITELISTED
126,17,17,1111026138,1111026138,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
127,17,17,1111036138,1111036138,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
128,14,14,3000000000,3059999999,NNYNNNNNNNNN,1,1,1,0,I,DC, ,5,0,0
129,16,16,3083000000,3329999999,NNYNNNNNNNNN,1,1,1,0,J,JC, ,5,0,0
130,19,19,3086399204,3086399204,NNNYNNNNNNNN,1,1,1,0,U,,,5,0,0
131,19,19,3086399205,3086399205,NNNYNNNNNNNN,1,1,1,0,U,,,5,0,0
132,16,16,3095000000,3095999999,NNYNNNNNNNNN,1,1,1,0,R,DS, ,5,0,0
133,15,15,3400000000,3499999999,NNYNNNNNNNNN,1,1,1,0,X,AE, ,5,0,0
134,16,16,3528000000,3589999999,NNYNNNNNNNNN,1,1,1,0,J,JC,,5,0,0
135,14,14,3600000000,3699999999,NNYNNNNNNNNN,1,1,1,0,I,DC,,5,0,0
136,15,15,3700000000,3799999999,NNYNNNNNNNNN,1,1,1,0,X,AE, ,5,0,0
137,16,16,3800000000,3999999999,NNYNNNNNNNNN,1,1,1,0,I,DC,,5,0,0
138,16,16,4000000000,4999999999,NNYNNNNNNNNN,1,1,1,0,V,VI, ,5,0,0
139,16,16,4022019599,4022019599,NYYNNNNNNNNN,1,1,1,0,U,,,5,0,0
140,16,16,4060320340,4060320340,NYYNNNNNNNNN,1,1,1,0,U,,,5,2,0
141,16,16,4183039046,4183039046,NYYNYNNNNNNN,1,1,1,0,U,,,5,2,0
142,16,16,4209550401,4209550401,NYYNNNNNNNNN,1,1,1,0,U,,,5,0,0
143,16,16,4209550402,4209550402,NYYNNNNNYNNN,1,1,1,0,U,,,5,0,0
144,16,16,4209550404,4209550404,NYYNNNNNNNNN,1,1,1,0,U,,,5,0,0
145,16,16,4209550405,4209550405,NYYNNNNNNNNN,1,1,1,0,U,,,5,0,0
146,16,16,4209550406,4209550406,NYYNNNNNNNNN,1,1,1,0,U,,,5,0,0
147,16,16,4209550407,4209550407,NYYNNNNNNNNN,1,1,1,0,U,,,5,3,0
148,16,16,4229895170,4229895170,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
149,16,16,4229895171,4229895171,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
150,16,16,4229895172,4229895172,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
151,16,16,4229895173,4229895173,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
152,16,16,4229895174,4229895174,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
153,16,16,4229895175,4229895175,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
154,16,16,4229895176,4229895176,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
155,16,16,4229895177,4229895177,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
156,16,16,4229895178,4229895178,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
157,16,16,4229895179,4229895179,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
158,16,16,4229895267,4229895267,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
159,16,16,4229895440,4229895440,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
160,16,16,4229895466,4229895466,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
161,16,16,4229895616,4229895616,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
162,16,16,4229895619,4229895619,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
163,16,16,4229895634,4229895634,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
164,16,16,4229895679,4229895679,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
165,16,16,4229895700,4229895700,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
166,16,16,4229895718,4229895718,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
167,16,16,4238695634,4238695634,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
168,16,16,4238695692,4238695692,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
169,16,16,4238695718,4238695718,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
170,16,16,4271790285,4271790285,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
171,16,16,4271790358,4271790358,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
172,16,16,4271790444,4271790444,NYNNNNNNYNNN,1,1,1,0,U,,,5,0,0
173,16,16,4271790530,4271790530,NYNNNNNNNNNN,1,1,1,0,U,,,5,0,0
174,16,16,4291170010,4291170010,NYYNNNNNNNNN,1,1,1,0,U,,,5,3,0
175,16,16,4314710331,4314710331,NYYNYNNNYNNN,1,1,1,0,U,,,5,3,0
176,16,16,4314716189,4314716189,NYYNYNNNYNNN,1,1,1,0,U,,,5,3,0
177,16,16,4314717791,4314717791,NYYNYNNNYNNN,1,1,1,0,U,,,5,3,0
178,16,16,4314717792,4314717792,NYYNYNNNYNNN,1,1,1,0,U,,,5,3,0
179,16,16,4356030010,4356030010,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
180,16,16,4356030011,4356030011,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
181,16,16,4356030012,4356030012,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
182,16,16,4356030013,4356030013,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
183,16,16,4356030014,4356030014,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
184,16,16,4356030015,4356030015,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
185,16,16,4356030016,4356030016,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
186,16,16,4356030017,4356030017,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
187,16,16,4356030018,4356030018,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
188,16,16,4356030019,4356030019,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
189,16,16,4356030020,4356030020,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
190,16,16,4356030021,4356030021,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
191,16,16,4356030022,4356030022,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
192,16,16,4356030023,4356030023,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
193,16,16,4356030024,4356030024,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
194,16,16,4356030025,4356030025,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
195,16,16,4356030027,4356030027,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
196,16,16,4356030028,4356030028,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
197,16,16,4356030029,4356030029,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
198,16,16,4356030030,4356030030,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
199,16,16,4356030031,4356030031,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
200,16,16,4356030032,4356030032,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
201,16,16,4356030033,4356030033,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
202,16,16,4356030034,4356030034,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
203,16,16,4356030035,4356030035,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
204,16,16,4356030036,4356030036,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
205,16,16,4356030037,4356030037,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
206,16,16,4356030041,4356030041,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
207,16,16,4356030042,4356030042,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
208,16,16,4356030043,4356030043,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
209,16,16,4356030044,4356030044,NYYNNNNNNNNN,1,1,1,0,U,,,5,5,0
210,16,16,4358790155,4358790155,NYYNNNNNYNNN,1,1,1,0,U,,,5,5,0
211,16,16,4358790255,4358790255,NYYNNNNNYNNN,1,1,1,0,U,,,5,5,0
212,16,16,4358790355,4358790355,NYYNNNNNYNNN,1,1,1,0,U,,,5,5,0
213,16,16,4358790455,4358790455,NYYNNNNNYNNN,1,1,1,0,U,,,5,5,0
214,16,16,4358790555,4358790555,NYYNNNNNYNNN,1,1,1,0,U,,,5,5,0
215,16,16,4358790655,4358790655,NYYNNNNNYNNN,1,1,1,0,U,,,5,5,0
216,16,16,4358790755,4358790755,NYYNNNNNYNNN,1,1,1,0,U,,,5,5,0
217,16,16,4358790855,4358790855,NYYNNNNNYNNN,1,1,1,0,U,,,5,5,0
218,16,16,4358790955,4358790955,NYYNNNNNYNNN,1,1,1,0,U,,,5,5,0
219,16,16,4358791055,4358791055,NYYNNNNNYNNN,1,1,1,0,U,,,5,5,0
220,16,16,4358791155,4358791155,NYYNNNNNYNNN,1,1,1,0,U,,,5,5,0
221,16,16,4358791355,4358791355,NYYNNNNNYNNN,1,1,1,0,U,,,5,5,0
222,16,16,4358791455,4358791455,NYYNNNNNYNNN,1,1,1,0,U,,,5,5,0
223,16,16,4358791555,4358791555,NYYNNNNNYNNN,1,1,1,0,U,,,5,5,0
